;"Organisationsschlüssel";"Beschreibung";"Anlernen_Ausbildung";"Erfahrung";"Denken";"Handlungsspielraum";"Kommunikation";"Führung";"Punkte";"Entgeltgruppe";;
;"01.02.02.05";"Rechnungsprüfer/-in 1 - Vorkontieren von Rechnungen/ Rechnungsprüfung";"B 1";"E 1";"D 2";"H 2";"K 2";"F 0";"20  ";" EG 6";;
;"01.02.02.10";"Rechnungsprüfer/-in 2 - Prüfen von Lieferantenrechnungen";"B 2";"E 2";"D 2";"H 3";"K 2";"F 0";"27  ";" EG 8";;
;"01.02.02.20";"Rechnungsprüfungsleiter/-in - Leiten der Rechnungsprüfung";"B 4";"E 4";"D 4";"H 4";"K 5";"F 4";"54  ";" EG 14";;
;"01.04.01.10";"Sachbearb./-in Betriebsbuchhaltung - Vorbereiten von Teilabschlüssen / periodischen Berichten";"B 2";"E 2";"D 2";"H 3";"K 2";"F 0";"27  ";" EG 8";;
;"01.04.03.05";"Budgetsachbearbeiter/-in - Planen und Überwachen von Plankosten (Budgets)";"B 3";"E 3";"D 3";"H 3";"K 3";"F 0";"36  ";" EG 10";;
;"01.04.03.10";"Bereichscontroller/-in - Durchführen von bereichsbezogenen - Controllingaufgaben";"B 5";"E 3";"D 4";"H 4";"K 4";"F 0";"51  ";" EG 14";;
;"01.04.03.15";"Controller/-in - Entwickeln von Controllingsystemen";"B 5";"E 4";"D 5";"H 5";"K 4";"F 0";"60  ";" EG 16";;
;"01.06.01.05";"Kauffrau/-mann 1  - Durchführung von umfassenden kaufmännischen Aufgaben ";"B 2";"E 3";"D 3";"H 2";"K 3";"F 0";"31  ";" EG 9";;
;"01.06.01.15";"Kauffrau/-mann 2  - Durchführung von umfassenden kaufmännischen Aufgaben ";"B 5";"E 3";"D 4";"H 4";"K 4";"F 0";"51  ";" EG 14";;
;"02.01.01.05";"Bestellsachbearbeiter/in - Durchführen von Bestellungen";"B 1";"E 1";"D 2";"H 2";"K 2";"F 0";"20  ";" EG 6";;
;"02.01.01.10";"Einkaufssachbearbeiter/-in - Bearbeiten von Einkaufsvorgängen";"B 2";"E 1";"D 2";"H 3";"K 2";"F 0";"25  ";" EG 7";;
;"02.01.01.20";"Einkäufer/-in 1 - Bearbeiten schwieriger Einkaufsvorgänge";"B 4";"E 4";"D 3";"H 4";"K 5";"F 0";"49  ";" EG 13";;
;"02.01.01.25";"Einkäufer/-in 2 - Bearbeiten komplexer Einkaufsvorgänge";"B 5";"E 4";"D 4";"H 6";"K 5";"F 0";"61  ";" EG 16";;
;"02.02.01.10";"Materialdisponent/-in - Disponieren von Engpassteilen / -materialien";"B 2";"E 3";"D 3";"H 4";"K 3";"F 0";"35  ";" EG 10";;
;"02.02.03.10";"Fertigungssteuerer/-in 2 - Durchführen von Planung, Disponieren und Fertigungssteuerung";"B 3";"E 3";"D 3";"H 4";"K 3";"F 0";"38  ";" EG 10";;
;"02.03.01.05";"Lagerist/-in - Ausführen von Lagerarbeiten";"A 3";"E 0";"D 1";"H 1";"K 1";"F 0";"8  ";" EG 2";;
;"02.03.01.15";"Lagerverwalter/-in  - Verwalten eines Betriebsmittellagers";"A 5";"E 0";"D 2";"H 2";"K 2";"F 1";"20  ";" EG 6";;
;"03.01.01.10";"Personalsachbearbeiter/-in - Durchführen von Personalmaßnahmen";"B 2";"E 3";"D 3";"H 2";"K 3";"F 0";"31  ";" EG 9";;
